Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,96.0,8.4
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82.0,4.3
Halo 2,XB,2004,Shooter,Microsoft Game Studios,8.49,95.0,8.2
Wii Party,Wii,2010,Misc,Nintendo,8.38,68.0,7.4
Mario Party 8,Wii,2007,Misc,Nintendo,8.27,62.0,6.3
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,88.0,6.6
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,8.05,92.0,8.7
The Sims 3,PC,2009,Simulation,Electronic Arts,8.01,86.0,7.6
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,7.86,90.0,8.6
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,7.72,83.0,8.5
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.69,88.0,7.6
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,83.0,5.7
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85.0,5.0
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,97.0,9.1
Call of Duty: World at War,X360,2008,Shooter,Activision,7.38,84.0,7.6
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,84.0,7.4
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7.2,85.0,8.6
Just Dance,Wii,2009,Misc,Ubisoft,7.2,49.0,8.0
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,85.0,7.5
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87.0,6.5
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16,96.0,9.1
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7.15,95.0,9.0
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7.13,91.0,8.9
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88.0,9.1
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07,92.0,9.1
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9,82.0,8.6
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83,88.0,8.5
Just Dance 4,Wii,2012,Misc,Ubisoft,6.76,74.0,7.3
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.75,93.0,7.7
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92.0,8.3
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.68,94.0,8.4
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.66,96.0,8.8
Big Brain Academy,DS,2005,Misc,Nintendo,6.62,74.0,7.4
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95.0,8.8
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86.0,4.3
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85.0,6.9
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87.0,8.6
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43,97.0,8.6
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.41,92.0,6.4
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41,76.0,9.0
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4,85.0,8.8
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.34,83.0,7.1
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95.0,9.0
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31,92.0,8.6
World of Warcraft,PC,2004,Role-Playing,Activision,6.29,93.0,7.3
Driver,PS,1999,Action,GT Interactive,6.27,87.0,8.1
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91.0,7.8
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73.0,7.4
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.09,94.0,8.3
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82.0,5.7
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05,96.0,8.7
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03,94.0,9.4
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5.99,94.0,8.7
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95,92.0,7.6
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95.0,9.1
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.82,95.0,6.8
Resident Evil 2,PS,1998,Action,Virgin Interactive,5.82,89.0,9.2
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5.78,87.0,8.8
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5.74,89.0,8.9
Destiny,PS4,2014,Shooter,Activision,5.64,76.0,6.1
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5.64,80.0,8.9
Cooking Mama,DS,2006,Simulation,505 Games,5.63,67.0,7.2
Assassin's Creed II,PS3,2009,Action,Ubisoft,5.55,91.0,8.6
Assassin's Creed,X360,2007,Adventure,Ubisoft,5.54,81.0,7.7
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5.49,92.0,8.0
Super Mario Advance,GBA,2001,Platform,Nintendo,5.49,84.0,7.8
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5.48,81.0,8.7
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96.0,8.6
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.48,97.0,7.9
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5.47,93.0,8.3
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5.42,66.0,7.1
Call of Duty: World at War,PS3,2008,Shooter,Activision,5.39,85.0,7.6
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93.0,7.9
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5.33,83.0,7.3
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5.3,94.0,8.9
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84.0,6.7
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5.29,85.0,6.6
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81.0,5.4
Assassin's Creed II,X360,2009,Action,Ubisoft,5.26,90.0,8.8
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84.0,8.1
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21,89.0,8.8
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5.19,85.0,8.6
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90.0,6.1
Diablo III,PC,2012,Role-Playing,Activision,5.14,88.0,4.0
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5.13,68.0,7.6
Guitar Hero II,PS2,2006,Misc,RedOctane,5.12,92.0,8.5
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80.0,6.5
Resident Evil 5,PS3,2009,Action,Capcom,5.09,84.0,7.5
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,5.08,90.0,8.0
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89.0,8.0
Resident Evil,PS,1996,Action,Virgin Interactive,5.05,91.0,9.0
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,5.03,86.0,8.0
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,5.02,92.0,9.2
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,4.98,82.0,8.2
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,4.98,68.0,7.1
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,4.93,93.0,8.5
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,4.92,88.0,8.1
Madden NFL 06,PS2,2005,Sports,Electronic Arts,4.91,88.0,8.0
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,93.0,8.2
Assassin's Creed,PS3,2007,Adventure,Ubisoft,4.82,81.0,7.3
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92.0,8.7
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4.79,88.0,9.0
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,4.76,80.0,5.4
Driver 2,PS,2000,Action,Atari,4.73,62.0,7.7
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94.0,8.7
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,4.68,98.0,7.7
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,4.67,82.0,8.2
Tomb Raider,PS,1996,Action,Eidos Interactive,4.63,91.0,8.6
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,4.62,73.0,7.6
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86.0,8.1
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,4.6,96.0,8.9
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,4.6,86.0,8.4
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86.0,8.4
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,4.57,91.0,8.2
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.53,91.0,7.9
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,4.53,85.0,7.9
Madden NFL 07,PS2,2006,Sports,Electronic Arts,4.49,84.0,8.2
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,84.0,6.4
Spider-Man: The Movie,PS2,2002,Action,Activision,4.48,76.0,7.9
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,77.0,3.4
God of War,PS2,2005,Action,Sony Computer Entertainment,4.45,94.0,8.9
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,81.0,8.5
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77.0,7.9
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,4.41,97.0,7.5
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,4.39,86.0,8.9
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,4.38,94.0,8.7
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,4.37,82.0,9.1
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,4.36,56.0,8.3
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,4.34,86.0,8.1
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,4.33,87.0,9.0
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,93.0,9.0
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,4.27,89.0,6.5
Namco Museum,GBA,2001,Misc,Namco Bandai Games,4.24,79.0,7.3
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,4.23,91.0,8.9
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,4.23,91.0,9.3
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,4.22,80.0,7.5
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,88.0,6.2
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84.0,4.2
Daxter,PSP,2006,Platform,Sony Computer Entertainment,4.21,85.0,8.7
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,4.21,80.0,7.8
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,4.2,80.0,7.5
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,4.19,80.0,7.1
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,4.19,80.0,7.2
Street Fighter IV,PS3,2009,Fighting,Capcom,4.16,94.0,7.3
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,4.14,95.0,7.7
Half-Life,PC,1997,Shooter,Vivendi Games,4.12,96.0,9.1
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,4.09,91.0,7.9
Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08,88.0,8.4
God of War II,PS2,2007,Action,Sony Computer Entertainment,4.07,93.0,8.9
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,4.05,84.0,8.1
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,4.05,90.0,8.3
Carnival Games,Wii,2007,Misc,Take-Two Interactive,4.05,56.0,6.0
Watch Dogs,PS4,2014,Action,Ubisoft,4.05,80.0,6.3
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,4.05,85.0,8.5
Far Cry 4,PS4,2014,Shooter,Ubisoft,4.04,85.0,7.7
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,3.97,89.0,8.6
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3.97,92.0,9.2
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3.96,70.0,4.9
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95,87.0,7.6
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,3.95,93.0,8.0
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,3.94,90.0,8.0
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,3.94,84.0,8.8
EA Sports Active,Wii,2009,Sports,Electronic Arts,3.9,81.0,8.7
Tony Hawk's Underground,PS2,2003,Sports,Activision,3.9,90.0,8.7
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3.89,86.0,8.7
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,3.88,94.0,8.1
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88,87.0,6.7
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,3.87,88.0,8.6
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,3.87,84.0,7.4
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,3.85,91.0,9.1
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,3.84,76.0,7.9
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3.83,78.0,3.7
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,3.83,59.0,4.0
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3.8,80.0,7.0
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,3.79,68.0,6.9
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,3.76,77.0,7.5
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,3.76,79.0,8.0
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,3.73,64.0,7.5
Super Paper Mario,Wii,2007,Platform,Nintendo,3.71,85.0,7.9
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,3.71,91.0,8.8
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3.71,88.0,8.1
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,3.7,81.0,7.6
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,3.67,94.0,8.5
MySims,DS,2007,Simulation,Electronic Arts,3.66,67.0,7.3
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,3.65,74.0,8.4
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,3.65,82.0,7.9
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,3.64,90.0,8.7
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,3.63,82.0,7.9
Resident Evil 4,PS2,2005,Action,Capcom,3.62,96.0,8.9
Guitar Hero: World Tour,Wii,2008,Misc,Activision,3.62,86.0,7.6
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,3.62,91.0,7.6
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,3.61,82.0,8.7
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,3.61,64.0,7.7
Luigi's Mansion,GC,2001,Action,Nintendo,3.6,78.0,8.5
Battlefield 4,PS4,2013,Shooter,Electronic Arts,3.59,85.0,6.9
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,3.59,84.0,9.0
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,3.58,70.0,8.0
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,3.54,78.0,7.8
The Getaway,PS2,2002,Action,Sony Computer Entertainment,3.54,72.0,6.8
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,3.53,72.0,7.9
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,3.52,88.0,7.5
Left 4 Dead,X360,2008,Shooter,Electronic Arts,3.51,89.0,7.9
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.5,72.0,4.1
Resident Evil 5,X360,2009,Action,Capcom,3.5,83.0,7.5
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,3.49,89.0,8.3
Battlefield 4,PS3,2013,Shooter,Electronic Arts,3.49,80.0,5.8
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,3.48,92.0,8.7
Battlefield 4,X360,2013,Shooter,Electronic Arts,3.48,79.0,5.6
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,3.47,88.0,8.6
Guitar Hero: On Tour,DS,2008,Misc,Activision,3.46,71.0,8.8
Clubhouse Games,DS,2006,Misc,Nintendo,3.45,83.0,8.4
Borderlands,X360,2009,Shooter,Take-Two Interactive,3.44,84.0,8.2
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,3.44,79.0,8.3
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,3.42,70.0,8.0
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.41,93.0,8.2
Spider-Man 2,PS2,2004,Action,Activision,3.41,80.0,8.9
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,3.4,88.0,6.7
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,3.39,91.0,8.4
Crash Bash,PS,2000,Misc,Sony Computer Entertainment,3.39,68.0,8.2
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.39,76.0,6.8
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,3.38,76.0,7.9
Destiny,XOne,2014,Shooter,Activision,3.37,75.0,5.5
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.35,90.0,8.5
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,3.33,77.0,8.5
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,3.32,60.0,7.2
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,3.31,87.0,7.8
Max Payne,PS2,2001,Shooter,Take-Two Interactive,3.31,80.0,8.5
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.3,86.0,7.9
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,3.28,85.0,8.7
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3.28,82.0,7.5
True Crime: Streets of LA,PS2,2003,Action,Activision,3.27,77.0,8.0
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,3.26,86.0,9.2
FIFA 16,XOne,2015,Sports,Electronic Arts,3.25,84.0,4.4
Wii Music,Wii,2008,Misc,Nintendo,3.25,63.0,4.6
Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.24,83.0,5.9
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,3.23,81.0,7.7
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,3.23,85.0,7.2
Super Mario Maker,WiiU,2015,Platform,Nintendo,3.21,88.0,8.7
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,3.18,91.0,8.6
Enter the Matrix,PS2,2003,Action,Atari,3.18,62.0,8.1
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,3.18,83.0,8.0
Dance Central,X360,2010,Misc,MTV Games,3.17,82.0,7.6
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,3.17,89.0,7.7
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,3.17,89.0,9.1
Animal Crossing,GC,2001,Simulation,Nintendo,3.15,87.0,8.9
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,3.14,83.0,6.5
Spider-Man,PS,2000,Action,Activision,3.13,87.0,9.0
Mario Party 9,Wii,2012,Misc,Nintendo,3.13,73.0,6.8
Sonic Rush,DS,2005,Platform,Sega,3.12,82.0,8.5
Rhythm Heaven,DS,2008,Misc,Nintendo,3.11,83.0,9.0
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,3.11,82.0,7.8
Personal Trainer: Cooking,DS,2006,Misc,Nintendo,3.11,81.0,7.8
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,3.1,93.0,8.0
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,3.1,91.0,8.9
Resident Evil 6,PS3,2012,Shooter,Capcom,3.1,74.0,5.4
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,3.1,96.0,8.9
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,3.09,67.0,7.9
Madden NFL 2002,PS2,2001,Sports,Electronic Arts,3.08,94.0,7.9
The Sims: Vacation,PC,2002,Simulation,Electronic Arts,3.07,75.0,7.8
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,3.05,66.0,6.9
The Sims 4,PC,2014,Simulation,Electronic Arts,3.05,70.0,3.9
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,3.05,89.0,8.2
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,3.05,72.0,8.0
Kung Fu Panda,X360,2008,Action,Activision,3.04,75.0,7.4
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,3.04,93.0,5.8
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,3.03,87.0,7.7
Saints Row 2,X360,2008,Action,THQ,3.03,81.0,8.1
Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,3.02,93.0,8.5
FIFA 14,PS4,2013,Sports,Electronic Arts,3.01,87.0,6.3
Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,3.01,91.0,8.1
Far Cry 3,X360,2012,Shooter,Ubisoft,3.0,91.0,8.6
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,3.0,73.0,7.0
NBA 2K13,X360,2012,Sports,Take-Two Interactive,3.0,88.0,7.2
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,3.0,73.0,9.2
The Sims: Livin Large,PC,2000,Misc,Electronic Arts,2.99,82.0,6.6
